word,orig,Bolbol,FaBert,Hoosh
بلند,15.84277814,15.842776902279725,13.366963386535645,2.2923343181610107
شم,4.5327079,4.532707527288895,3.8827130794525146,6.715464115142822
چند,10.67614053,10.67614121326006,12.354777336120605,7.939367771148682
تا,2.21192901,2.2119311017300585,2.9333748817443848,6.4953813552856445
گل,7.043097469,7.043097557937862,4.901967525482178,6.871985912322998
مینا,15.84970016,15.849697062136554,14.216773986816406,8.071532249450684
بچینم,4.485367155,4.485373812065293,1.808509349822998,6.318918228149414
و,3.114651049,3.1146505831997553,6.727829456329346,1.7717252969741821
تاج,13.87641469,13.876411535799958,13.199204444885254,9.755824089050293
گلی,6.08232627,6.08232590578379,8.730546951293945,5.150362491607666
درست,7.180482966,7.180481504716188,6.279824733734131,4.134054183959961
کنم,0.162132942,0.16214602828534685,0.029216241091489792,0.04385128617286682
یا,8.416303388,8.41630350293756,8.472270011901855,3.746931791305542
نه,6.979514746,6.979512372343285,1.060387372970581,3.581408977508545
اما,9.801781896,9.801778898216682,5.837794303894043,6.328275680541992
در,4.180556641,4.180555374242422,7.820598125457764,8.247054100036621
همین,6.702093968,6.702095086831408,7.432437419891357,10.818936347961426
لحظه,5.3994582,5.3994612625676535,2.434462308883667,7.846854209899902
ناگهان,6.926492052,6.926492706126287,5.76607084274292,5.552226543426514
خرگوشی,7.267687795,7.2676880487314826,15.845819473266602,4.765742778778076
سفید,9.790989507,9.790988465024004,4.532809257507324,5.493178367614746
با,3.414553965,3.4145532774045013,4.139514446258545,4.2052001953125
چشمانی,7.262070352,7.262067258877742,3.3499629497528076,3.05515456199646
صورتی,8.26547415,8.265474046327846,6.466482162475586,7.587913990020752
از,3.689651269,3.6896532109146696,4.342796325683594,3.5395233631134033
نزدیکی,10.24134999,10.241349486367023,8.062827110290527,6.925575256347656
او,2.483109263,2.4831050560222763,3.4537363052368164,2.5814056396484375
رد,2.106305099,2.10630824608326,3.521318197250366,2.587372064590454
شد,0.188818482,0.18882985190745044,0.5224550366401672,0.9633440971374512
اتفاق,13.3677184,13.367719512758367,10.115324020385742,8.653786659240723
چندان,11.31832299,11.31832298811551,13.68626880645752,7.765888690948486
خارق‌العاده‌ای,2.716725692,2.7167363680070227,6.265254020690918,7.5588698387146
نیفتاده,4.955743974,4.955746975853713,2.052746295928955,18.132461547851562
بود,3.051374063,3.0513880529850983,4.592108249664307,5.849496364593506
و,2.842695011,2.842702567575117,3.670661449432373,7.1232147216796875
آلیس,17.11738839,17.117388012788272,12.794920921325684,20.181747436523438
هم,5.14653481,5.146535380728851,3.6432762145996094,8.997919082641602
